pthread primitives:
SYNC_PERIOD= 5
 Work time: tics: 10042271134.000000 , time=: 3.586244 seconds


SYNC_PERIOD= 250
 Work time: tics: 9787464085.000000 , time=: 3.495248 seconds
 Work time: tics: 11908012445.000000 , time=: 4.252527 seconds
 Work time: tics: 8766330195.000000 , time=: 3.130586 seconds
 Work time: tics: 8753878196.000000 , time=: 3.126139 seconds
 Work time: tics: 9267684027.000000 , time=: 3.309627 seconds
 Work time: tics: 9664672570.000000 , time=: 3.451398 seconds
 Work time: tics: 10545265913.000000 , time=: 3.765871 seconds
 Work time: tics: 8395434229.000000 , time=: 2.998134 seconds
 Work time: tics: 10913248780.000000 , time=: 3.897283 seconds
 Work time: tics: 9304035594.000000 , time=: 3.322609 seconds
 Work time: tics: 11002847429.000000 , time=: 3.929280 seconds
 Work time: tics: 10035238703.000000 , time=: 3.583732 seconds
 Work time: tics: 9176880517.000000 , time=: 3.277200 seconds
 Work time: tics: 10854299274.000000 , time=: 3.876231 seconds
 Work time: tics: 9887691387.000000 , time=: 3.531041 seconds
 Work time: tics: 10055032477.000000 , time=: 3.590801 seconds
 Work time: tics: 9167208967.000000 , time=: 3.273746 seconds
 Work time: tics: 8529115406.000000 , time=: 3.045873 seconds
 Work time: tics: 9284444764.000000 , time=: 3.315613 seconds
 Work time: tics: 9474665438.000000 , time=: 3.383543 seconds
 Work time: tics: 8969337139.000000 , time=: 3.203083 seconds
 Work time: tics: 8598870826.000000 , time=: 3.070784 seconds
 Work time: tics: 10131689533.000000 , time=: 3.618176 seconds
 Work time: tics: 9652763022.000000 , time=: 3.447145 seconds
 Work time: tics: 8441659310.000000 , time=: 3.014641 seconds
 Work time: tics: 9362371200.000000 , time=: 3.343441 seconds
 Work time: tics: 10236335886.000000 , time=: 3.655547 seconds
 Work time: tics: 10367299040.000000 , time=: 3.702316 seconds
 Work time: tics: 9659290487.000000 , time=: 3.449476 seconds
 Work time: tics: 10103167564.000000 , time=: 3.607991 seconds
 Work time: tics: 8981744772.000000 , time=: 3.207514 seconds
 Work time: tics: 8109796765.000000 , time=: 2.896128 seconds
 Work time: tics: 9345322756.000000 , time=: 3.337353 seconds
 Work time: tics: 9187495681.000000 , time=: 3.280991 seconds
 Work time: tics: 8814985172.000000 , time=: 3.147962 seconds
 Work time: tics: 10088895166.000000 , time=: 3.602894 seconds
 Work time: tics: 9886060667.000000 , time=: 3.530459 seconds
 Work time: tics: 11091382344.000000 , time=: 3.960897 seconds
 Work time: tics: 10287977945.000000 , time=: 3.673989 seconds
 Work time: tics: 10716168253.000000 , time=: 3.826902 seconds


SYNC_PERIOD= 300
 Work time: tics: 10605829626.000000 , time=: 3.787499 seconds
 Work time: tics: 10186263584.000000 , time=: 3.637665 seconds
 Work time: tics: 9582103636.000000 , time=: 3.421911 seconds
 Work time: tics: 9536283190.000000 , time=: 3.405548 seconds
 Work time: tics: 10638087901.000000 , time=: 3.799019 seconds
 Work time: tics: 9435033538.000000 , time=: 3.369390 seconds
 Work time: tics: 9738393315.000000 , time=: 3.477724 seconds
 Work time: tics: 7953041649.000000 , time=: 2.840149 seconds
 Work time: tics: 9883625969.000000 , time=: 3.529589 seconds
 Work time: tics: 10015134122.000000 , time=: 3.576553 seconds
 Work time: tics: 10964262603.000000 , time=: 3.915500 seconds
 Work time: tics: 9591826062.000000 , time=: 3.425383 seconds
 Work time: tics: 11049645376.000000 , time=: 3.945992 seconds
 Work time: tics: 9087670627.000000 , time=: 3.245342 seconds
 Work time: tics: 10200481396.000000 , time=: 3.642743 seconds
 Work time: tics: 8815102177.000000 , time=: 3.148003 seconds
 Work time: tics: 10060555778.000000 , time=: 3.592773 seconds
 Work time: tics: 9711374778.000000 , time=: 3.468076 seconds
 Work time: tics: 8299740505.000000 , time=: 2.963960 seconds
 Work time: tics: 9251341253.000000 , time=: 3.303791 seconds
 Work time: tics: 8839154275.000000 , time=: 3.156593 seconds
 Work time: tics: 10266420437.000000 , time=: 3.666291 seconds
 Work time: tics: 10410394897.000000 , time=: 3.717706 seconds
 Work time: tics: 10115449253.000000 , time=: 3.612377 seconds
 Work time: tics: 10068597098.000000 , time=: 3.595645 seconds
 Work time: tics: 8677739357.000000 , time=: 3.098949 seconds
 Work time: tics: 9215606435.000000 , time=: 3.291029 seconds
 Work time: tics: 8363252660.000000 , time=: 2.986641 seconds
 Work time: tics: 10507172550.000000 , time=: 3.752267 seconds
 Work time: tics: 9709938931.000000 , time=: 3.467563 seconds
 Work time: tics: 10438508612.000000 , time=: 3.727746 seconds
 Work time: tics: 11510755109.000000 , time=: 4.110661 seconds
 Work time: tics: 9699015095.000000 , time=: 3.463662 seconds
 Work time: tics: 10461799362.000000 , time=: 3.736063 seconds
 Work time: tics: 10549084490.000000 , time=: 3.767234 seconds
 Work time: tics: 9181792928.000000 , time=: 3.278954 seconds
 Work time: tics: 9771304529.000000 , time=: 3.489477 seconds
 Work time: tics: 9815647310.000000 , time=: 3.505313 seconds
 Work time: tics: 8747035948.000000 , time=: 3.123696 seconds
 Work time: tics: 8683637137.000000 , time=: 3.101055 seconds


SYNC_PERIOD= 400
 Work time: tics: 9888274760.000000 , time=: 3.531249 seconds
 Work time: tics: 10276774676.000000 , time=: 3.669988 seconds
 Work time: tics: 10070048380.000000 , time=: 3.596163 seconds
 Work time: tics: 9297386756.000000 , time=: 3.320234 seconds
 Work time: tics: 10835385519.000000 , time=: 3.869477 seconds
 Work time: tics: 9852389953.000000 , time=: 3.518434 seconds
 Work time: tics: 9859521623.000000 , time=: 3.520981 seconds
 Work time: tics: 10984088794.000000 , time=: 3.922581 seconds
 Work time: tics: 10435157558.000000 , time=: 3.726549 seconds
 Work time: tics: 9642528693.000000 , time=: 3.443490 seconds
 Work time: tics: 11423260821.000000 , time=: 4.079415 seconds
 Work time: tics: 9238879062.000000 , time=: 3.299340 seconds
 Work time: tics: 9855506164.000000 , time=: 3.519547 seconds
 Work time: tics: 10578005676.000000 , time=: 3.777562 seconds
 Work time: tics: 10060893787.000000 , time=: 3.592894 seconds
 Work time: tics: 10262992908.000000 , time=: 3.665067 seconds
 Work time: tics: 10176845889.000000 , time=: 3.634302 seconds
 Work time: tics: 9901806054.000000 , time=: 3.536081 seconds
 Work time: tics: 8598327017.000000 , time=: 3.070590 seconds
 Work time: tics: 9525024334.000000 , time=: 3.401527 seconds
 Work time: tics: 8427420967.000000 , time=: 3.009557 seconds
 Work time: tics: 9451046157.000000 , time=: 3.375108 seconds
 Work time: tics: 10500478233.000000 , time=: 3.749876 seconds
 Work time: tics: 8738018961.000000 , time=: 3.120476 seconds
 Work time: tics: 9460973949.000000 , time=: 3.378654 seconds
 Work time: tics: 9229838681.000000 , time=: 3.296112 seconds
 Work time: tics: 9990778945.000000 , time=: 3.567855 seconds
 Work time: tics: 10917876830.000000 , time=: 3.898935 seconds
 Work time: tics: 9646778162.000000 , time=: 3.445007 seconds
 Work time: tics: 10446366413.000000 , time=: 3.730552 seconds
 Work time: tics: 8691008515.000000 , time=: 3.103688 seconds
 Work time: tics: 9835794332.000000 , time=: 3.512508 seconds
 Work time: tics: 10006801875.000000 , time=: 3.573577 seconds
 Work time: tics: 9603133407.000000 , time=: 3.429421 seconds
 Work time: tics: 9827574603.000000 , time=: 3.509572 seconds
 Work time: tics: 9749893496.000000 , time=: 3.481831 seconds
 Work time: tics: 10489104507.000000 , time=: 3.745814 seconds
 Work time: tics: 9233653569.000000 , time=: 3.297474 seconds
 Work time: tics: 9430438150.000000 , time=: 3.367749 seconds
 Work time: tics: 10515715931.000000 , time=: 3.755318 seconds


SYNC_PERIOD= 500
 Work time: tics: 10272505369.000000 , time=: 3.668464 seconds
