spinpause primitives:
SYNC_PERIOD= 5
 Work time: tics: 10818272493.000000 , time=: 3.863365 seconds
 Work time: tics: 11628682905.000000 , time=: 4.152775 seconds
 Work time: tics: 10381726418.000000 , time=: 3.707468 seconds
 Work time: tics: 9720256154.000000 , time=: 3.471247 seconds
 Work time: tics: 10924155984.000000 , time=: 3.901178 seconds
 Work time: tics: 11024581078.000000 , time=: 3.937041 seconds
 Work time: tics: 9995940227.000000 , time=: 3.569698 seconds
 Work time: tics: 10991145494.000000 , time=: 3.925101 seconds
 Work time: tics: 9801299620.000000 , time=: 3.500189 seconds
 Work time: tics: 10520626984.000000 , time=: 3.757072 seconds
 Work time: tics: 11320290436.000000 , time=: 4.042643 seconds
 Work time: tics: 12173186816.000000 , time=: 4.347225 seconds
 Work time: tics: 11816956816.000000 , time=: 4.220010 seconds
 Work time: tics: 11285208690.000000 , time=: 4.030115 seconds
 Work time: tics: 10733411724.000000 , time=: 3.833060 seconds
 Work time: tics: 9934776684.000000 , time=: 3.547856 seconds
 Work time: tics: 11164857193.000000 , time=: 3.987136 seconds
 Work time: tics: 12267597951.000000 , time=: 4.380941 seconds
 Work time: tics: 11374103839.000000 , time=: 4.061861 seconds
 Work time: tics: 10672724342.000000 , time=: 3.811388 seconds
 Work time: tics: 9786182896.000000 , time=: 3.494791 seconds
 Work time: tics: 11280534636.000000 , time=: 4.028446 seconds
 Work time: tics: 10436584172.000000 , time=: 3.727059 seconds
 Work time: tics: 11310651884.000000 , time=: 4.039201 seconds
 Work time: tics: 11104105964.000000 , time=: 3.965441 seconds
 Work time: tics: 12286612135.000000 , time=: 4.387731 seconds
 Work time: tics: 9736100129.000000 , time=: 3.476905 seconds
 Work time: tics: 9745620122.000000 , time=: 3.480305 seconds


SYNC_PERIOD= 400
 Work time: tics: 12000140110.000000 , time=: 4.285428 seconds
 Work time: tics: 12283973352.000000 , time=: 4.386789 seconds
 Work time: tics: 11570550747.000000 , time=: 4.132015 seconds
 Work time: tics: 11532494925.000000 , time=: 4.118425 seconds
 Work time: tics: 12965171681.000000 , time=: 4.630055 seconds
 Work time: tics: 12110446054.000000 , time=: 4.324819 seconds
 Work time: tics: 12060054699.000000 , time=: 4.306824 seconds
 Work time: tics: 10048565219.000000 , time=: 3.588491 seconds
 Work time: tics: 10414046566.000000 , time=: 3.719010 seconds
 Work time: tics: 11447548203.000000 , time=: 4.088089 seconds
 Work time: tics: 10752956228.000000 , time=: 3.840040 seconds
 Work time: tics: 11448259368.000000 , time=: 4.088343 seconds
 Work time: tics: 12966404556.000000 , time=: 4.630495 seconds
 Work time: tics: 12380384016.000000 , time=: 4.421218 seconds
 Work time: tics: 11298619444.000000 , time=: 4.034904 seconds
 Work time: tics: 11841044397.000000 , time=: 4.228612 seconds
 Work time: tics: 12577361062.000000 , time=: 4.491562 seconds
 Work time: tics: 12179520157.000000 , time=: 4.349487 seconds
 Work time: tics: 12001569531.000000 , time=: 4.285938 seconds
 Work time: tics: 11370370242.000000 , time=: 4.060527 seconds
 Work time: tics: 11735648407.000000 , time=: 4.190974 seconds
 Work time: tics: 12057688692.000000 , time=: 4.305979 seconds
 Work time: tics: 11201643516.000000 , time=: 4.000273 seconds
 Work time: tics: 12421980690.000000 , time=: 4.436073 seconds
 Work time: tics: 11811794106.000000 , time=: 4.218166 seconds
 Work time: tics: 12003448576.000000 , time=: 4.286609 seconds
 Work time: tics: 12377101079.000000 , time=: 4.420046 seconds
 Work time: tics: 11693237185.000000 , time=: 4.175828 seconds
 Work time: tics: 11246332685.000000 , time=: 4.016232 seconds
 Work time: tics: 11774521976.000000 , time=: 4.204856 seconds
 Work time: tics: 10583561366.000000 , time=: 3.779546 seconds
 Work time: tics: 12406528855.000000 , time=: 4.430555 seconds
 Work time: tics: 11971459948.000000 , time=: 4.275186 seconds
 Work time: tics: 11561915771.000000 , time=: 4.128931 seconds
 Work time: tics: 11208746556.000000 , time=: 4.002809 seconds
 Work time: tics: 10380055077.000000 , time=: 3.706871 seconds
 Work time: tics: 10182345600.000000 , time=: 3.636266 seconds
 Work time: tics: 12391649620.000000 , time=: 4.425241 seconds
 Work time: tics: 11966306226.000000 , time=: 4.273345 seconds
 Work time: tics: 11496684647.000000 , time=: 4.105636 seconds


SYNC_PERIOD= 500
 Work time: tics: 12300136240.000000 , time=: 4.392561 seconds
